candidate,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,sample_weight_policy,mean_cv_macro_f1,std_cv_macro_f1,fold_scores,total_cv_fit_seconds
0,3,0.05,40,0.8,0.5,1,1,none,0.3982167291201964,0.0019501314285127573,"[0.3962432279686916, 0.4008718587855045, 0.39753510060639313]",55.40496010001516
1,3,0.05,40,0.8,0.5,1,1,balanced,0.5241649963621717,0.0024208927333780783,"[0.5238384433131165, 0.5213768148115442, 0.5272797309618545]",57.66866730002221
2,5,0.05,60,0.8,0.75,1,5,none,0.4568432520201109,0.006466325649899998,"[0.46566594407742307, 0.45034860818216, 0.45451520380074967]",241.6537245999789
3,5,0.05,60,0.8,0.75,1,5,balanced,0.5556897923264045,0.001996659763707481,"[0.555336982160013, 0.5534399618361489, 0.5582924329830515]",251.20149130001664
4,3,0.1,50,0.8,0.75,3,5,none,0.46012635646565986,0.004715789779308253,"[0.46671979508385436, 0.45769735557576197, 0.45596191873736314]",76.01798990002135
5,3,0.1,50,0.8,0.75,3,5,balanced,0.5530166156600033,0.0010945614854148788,"[0.5523500975666907, 0.5521399521919935, 0.5545597972213255]",77.03867109998828
6,5,0.1,40,0.8,0.5,3,1,none,0.4820769887093728,0.004416377146617593,"[0.48770821225244837, 0.47692181037377174, 0.4816009435018984]",120.55666239996208
7,5,0.1,40,0.8,0.5,3,1,balanced,0.5656831219912112,0.0011320581350397533,"[0.5672825322254956, 0.5648221909929892, 0.5649446427551484]",135.15074850001838
8,7,0.03,80,0.8,0.5,3,5,none,0.4581650801816675,0.006709151174416471,"[0.46614956908851396, 0.44973380239945576, 0.4586118690570329]",528.0517944000312
9,7,0.03,80,0.8,0.5,3,5,balanced,0.5596912210986099,0.0016193497522329768,"[0.5611002044225832, 0.557423234977196, 0.5605502238960501]",552.2790831000893
