model,stage,params,mean_cv_macro_f1,std_cv_macro_f1,rank_within_stage,mean_fit_seconds,mean_score_seconds,fold_scores
logistic_regression,classifier,"{""classifier__C"": 0.25, ""classifier__class_weight"": null}",0.5901049121740383,0.004191115309189283,10,23.8184068997701,3.6600948174794516,"[0.595130253085438, 0.5848705450332649, 0.5903139384034118]"
logistic_regression,classifier,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced""}",0.6433866014906674,0.004172450497049546,5,11.263767957687378,3.6879921754201255,"[0.6492330795032508, 0.6411547638596837, 0.6397719611090678]"
logistic_regression,classifier,"{""classifier__C"": 0.5, ""classifier__class_weight"": null}",0.6168476956673454,0.003721798603027921,9,15.466453711191813,3.5888729890187583,"[0.6209739355702727, 0.6119546842939596, 0.6176144671378042]"
logistic_regression,classifier,"{""classifier__C"": 0.5, ""classifier__class_weight"": ""balanced""}",0.6524674229206554,0.002491642672322513,2,13.547232866287231,3.687389532725016,"[0.6559687146834273, 0.6503730594171332, 0.6510604946614058]"
logistic_regression,classifier,"{""classifier__C"": 1.0, ""classifier__class_weight"": null}",0.6313377336459629,0.004082527933395778,8,16.683225472768147,3.6970860958099365,"[0.6343497282476962, 0.6255660045345176, 0.6340974681556748]"
logistic_regression,classifier,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}",0.6544320098932724,0.0019497767110905368,1,17.266205231348675,3.6663335164388022,"[0.6570201896912761, 0.6539615933728444, 0.6523142466156969]"
logistic_regression,classifier,"{""classifier__C"": 2.0, ""classifier__class_weight"": null}",0.634132447965873,0.003019365176961367,7,24.46443255742391,3.6496415932973227,"[0.6369639483361351, 0.6299487015112946, 0.6354846940501893]"
logistic_regression,classifier,"{""classifier__C"": 2.0, ""classifier__class_weight"": ""balanced""}",0.6519323481580678,0.0015184874733405024,3,20.84211579958598,3.869274854660034,"[0.6540118852914327, 0.6504285210894104, 0.6513566380933601]"
logistic_regression,classifier,"{""classifier__C"": 4.0, ""classifier__class_weight"": null}",0.6357221814867288,0.00045857935260394705,6,22.363933722178142,3.6696109771728516,"[0.6362543586457937, 0.6351351051543471, 0.6357770806600453]"
logistic_regression,classifier,"{""classifier__C"": 4.0, ""classifier__class_weight"": ""balanced""}",0.646724417796992,0.001335965938925306,4,21.65405583381653,3.64740252494812,"[0.6479303281850154, 0.644861882281208, 0.6473810429247523]"
